利用,りよう,utilization
一番,いちばん,"best,first,number one"
患者,かんじゃ,a patient
世間,せけん,"world,society"
洋服,ようふく,western-style clothes
襖,ふすま,sliding screen
涼しい,すずしい,Refreshing
毛皮,けがわ,"fur,skin,pelt"
移る,うつる,to move house or transfer
音楽,おんがく,Music
約,やく,"approximately,about,some"
峠,とうげ,"ridge,(mountain) pass,difficult part"
垣根,かきね,hedge
追い越す,おいこす,"to pass (e.g. car),to outdistance,to outstrip"
級,きゅう,"class, grade, rank,school class, grade"
蒸す,むす,"to steam,to poultice,to be sultry"
折角,せっかく,"with trouble,at great pains,long-awaited"
成る,なる,to become
一旦,いったん,"once,for a moment,one morning,temporarily"
愛,あい,love
陸,りく,six (used in legal documents)
腕,うで,arm
通勤,つうきん,commuting to work
村,むら,village
入院,にゅういん,hospitalization
電車,でんしゃ,electric train
引っ掛かる,ひっかかる,"to be caught in,to be stuck in,to be cheated"
生まれ,うまれ,"birth,birth-place"
四,よん,four
野菜,やさい,vegetable
優勝,ゆうしょう,"overall victory,championship"
下す,おろす,"to lower,to let go down"
料金,りょうきん,"fee,charge,fare"
挙げる,あげる,"to raise,to fly"
芝居,しばい,"play,drama"
接続,せつぞく,"(1) connection,union,join,link,(2) changing trains"
曲線,きょくせん,curve
行ってまいります,いってまいります,good bye; I'm off; see you later(polite)
激増,げきぞう,sudden increase
切れ,きれ,"cloth,piece,cut,chop"
大戦,たいせん,"great war,great battle"
索引,さくいん,"index,indices"
育児,いくじ,"childcare,nursing,upbringing"
議長,ぎちょう,chairman
中学校,ちゅうがっこう,"junior high school,middle school"
妥当,だとう,"valid,proper,right,appropriate"
抱える,かかえる,to hold or carry under or in the arms
持参,じさん,"bringing,taking,carrying"
泡,あわ,"bubble,foam,froth,head on beer"
包帯,ほうたい,"bandage,dressing"
西,にし,west
直,じき,"earnestly,immediately,exactly"
音,おと,"sound,note"
窓口,まどぐち,ticket window
下,した,Below
住まい,すまい,"dwelling,house,residence,address"
中々,なかなか,considerably
調査,ちょうさ,"investigation,examination,inquiry,survey"
盛り,さかり,"helping,serving"
数字,すうじ,"numeral,figure"
東西,とうざい,"East and West,whole country"
違い,ちがい,"difference,discrepancy"
元気,げんき,"health, vitality"
各地,かくち,"every place,various places"
書籍,しょせき,"book,publication"
休み,やすみ,"rest,holiday"
刻む,きざむ,"to mince,to carve,to engrave"
田植え,たうえ,rice planting
間に合う,まにあう,to be in time for
日時,にちじ,date and time
豊か,ゆたか,"abundant,wealthy,plentiful,rich"
請う,こう,"to ask,to request"
電灯,でんとう,electric light
作成,さくせい,"frame,draw up,make,producing"
比べる,くらべる,to compare
冷蔵庫,れいぞうこ,refrigerator
訓練,くんれん,"practice,training"
本人,ほんにん,the person himself
組み立てる,くみたてる,"to assemble,to set up,to construct"
莫大,ばくだい,"enormous,vast"
上る,のぼる,"to ascend,to go up,to climb"
密,みつ,1. density; thickness 2. secrecy
蛇口,じゃぐち,"faucet,tap"
住所,じゅうしょ,"an address,a residence"
図書,としょ,books
覚える,おぼえる,to remember
整う,ととのう,"to be prepared,to be in order,to be put in order,to be arranged"
撒く,まく,"to scatter,to sprinkle,to sow"
地盤,じばん,(the) ground
休養,きゅうよう,"rest,break,recreation"
腰掛け,こしかけ,"seat,bench"
無理,むり,impossible
返事,へんじ,reply
教師,きょうし,teacher (classroom)
散歩,さんぽする,to stroll
熱い,あつい,hot to the touch
又,また,"again,and"
洒落,しゃれ,"joke,pun,witticism"
眠い,ねむい,sleepy
越す,こす,to go over (e.g. with audience)
芯,しん,"core,heart,wick,marrow"
廊下,ろうか,corridor
花火,はなび,fireworks
祭,まつり,"festival,feast"
月曜,げつよう,Monday
社説,しゃせつ,"editorial,leading article"
延期,えんき,"postponement,adjournment"
時間割,じかんわり,"timetable,schedule"
収穫,しゅうかく,"harvest,crop,ingathering"
余る,あまる,"to remain,to be left over,to be in excess,to be too many"
夫,おっと,husband
泳ぐ,およぐ,to swim
助ける,たすける,"to help,to save,to rescue"
暑い,あつい,hot
僕,ぼく,I (used by males)
床屋,とこや,barber
三つ,みっつ,three
濡らす,ぬらす,"to wet,to soak,to dip"
休む,やすむ,to rest
